,,,0p8_B,0p8_B,0p8_B,0p8_K,0p8_K,0p8_K,0p8_M,0p8_M,0p8_M,0p8_MK,0p8_MK,0p8_MK,2p5_B,2p5_B,2p5_B,2p5_K,2p5_K,2p5_K,2p5_M,2p5_M,2p5_M,2p5_MK,2p5_MK,2p5_MK,8p0_B,8p0_B,8p0_B,8p0_K,8p0_K,8p0_K,8p0_M,8p0_M,8p0_M,8p0_MK,8p0_MK,8p0_MK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,m/z,Retention time (min),0p8_B1,0p8_B2,0p8_B3,0p8_K1,0p8_K2,0p8_K3,0p8_M1,0p8_M2,0p8_M3,0p8_MK1,0p8_MK2,0p8_MK3,2p5_B1,2p5_B2,2p5_B3,2p5_K1,2p5_K2,2p5_K3,2p5_M1,2p5_M2,2p5_M3,2p5_MK1,2p5_MK2,2p5_MK3,8p0_B1,8p0_B2,8p0_B3,8p0_K1,8p0_K2,8p0_K3,8p0_M1,8p0_M2,8p0_M3,8p0_MK1,8p0_MK2,8p0_MK3
0.917_422.97549,422.97549,0.917,195597.33333333334,68858.33333333333,89849.33333333333,133802.0,132083.66666666666,139183.33333333334,105513.66666666667,137581.66666666666,130770.66666666667,169896.66666666666,151720.66666666666,148681.66666666666,175248.66666666666,83727.0,124903.33333333333,109267.33333333333,106913.0,107063.33333333333,101577.66666666667,133429.66666666666,82435.33333333333,88374.0,83597.66666666667,70834.0,91636.0,65808.66666666667,106684.66666666667,0.0,0.0,0.0,72014.66666666667,32632.0,78451.33333333333,5856.666666666667,14528.666666666666,40887.666666666664
0.917_428.03711,428.03711,0.917,131079.66666666666,79884.0,62117.0,694358.3333333334,622009.0,656242.3333333334,154237.0,1539124.6666666667,1325847.3333333333,822977.3333333334,791619.6666666666,769580.3333333334,107688.0,112291.33333333333,89762.66666666667,682211.0,643512.3333333334,653361.6666666666,272816.6666666667,400591.3333333333,345348.0,585611.6666666666,681880.0,747583.3333333334,16225.333333333334,36881.333333333336,63652.333333333336,119281.0,48981.333333333336,97443.33333333333,88902.66666666667,100177.0,195484.66666666666,100285.0,92250.66666666667,105947.0
0.917_444.03195,444.03195,0.917,0.0,0.0,0.0,294293.0,329342.6666666667,345859.6666666667,239776.66666666666,477457.6666666667,396800.6666666667,454232.6666666667,421311.6666666667,347702.3333333333,0.0,0.0,0.0,329003.3333333333,342357.6666666667,324605.0,270299.3333333333,337196.3333333333,325427.3333333333,324312.0,376762.0,361423.3333333333,0.0,0.0,0.0,115109.33333333333,108990.66666666667,125593.33333333333,120112.0,90953.66666666667,170342.33333333334,74706.66666666667,78622.0,105143.33333333333
0.917_538.07501,538.07501,0.917,0.0,0.0,0.0,306890.6666666667,449337.6666666667,517373.3333333333,130612.66666666667,0.0,0.0,411466.3333333333,561463.0,660572.6666666666,0.0,0.0,0.0,477006.0,466302.6666666667,537503.6666666666,0.0,0.0,2110.3333333333335,541244.6666666666,319137.6666666667,542469.0,0.0,0.0,0.0,62851.666666666664,77559.33333333333,243802.66666666666,0.0,0.0,0.0,169259.66666666666,127425.0,111739.0
0.917_671.12811,671.12811,0.917,0.0,0.0,0.0,91851.0,60784.0,56312.0,183519.33333333334,29548.0,33757.0,86034.66666666667,50602.666666666664,59345.333333333336,0.0,3764.6666666666665,0.0,30430.333333333332,53411.333333333336,46955.333333333336,3355.6666666666665,0.0,3150.0,167410.0,161228.0,117754.66666666667,0.0,0.0,0.0,159394.33333333334,97854.33333333333,182180.0,0.0,0.0,0.0,118499.0,170515.33333333334,141062.0
0.917_829.2818,829.2818,0.917,0.0,0.0,0.0,278429.0,300699.6666666667,295109.3333333333,190276.66666666666,0.0,0.0,310807.0,414357.3333333333,391455.6666666667,0.0,0.0,0.0,214825.0,331975.6666666667,230609.33333333334,0.0,0.0,0.0,292752.3333333333,366465.6666666667,420448.6666666667,0.0,0.0,0.0,0.0,19168.666666666668,25617.0,0.0,0.0,0.0,0.0,6261.666666666667,3014.6666666666665
0.917_896.17188,896.17188,0.917,0.0,0.0,0.0,183887.66666666666,151702.66666666666,147036.66666666666,17009.333333333332,0.0,0.0,117461.66666666667,189961.33333333334,169162.33333333334,0.0,0.0,0.0,56526.0,52329.666666666664,59298.0,0.0,0.0,0.0,30079.333333333332,62579.333333333336,36835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.918_211.10519,211.10519,0.918,121279.66666666667,133919.0,105617.66666666667,418721.6666666667,508856.6666666667,624898.0,1710526.6666666667,237291.66666666666,242562.33333333334,459642.3333333333,702790.6666666666,663919.3333333334,338250.0,329266.6666666667,344520.3333333333,578041.6666666666,630645.0,606660.0,220940.33333333334,248150.33333333334,197645.0,978029.0,614831.6666666666,793939.0,52549.666666666664,132184.0,312970.3333333333,3479425.6666666665,3066513.3333333335,4011406.0,92007.33333333333,123111.66666666667,89786.33333333333,5812369.333333333,5929794.0,5309994.0
0.918_229.11836,229.11836,0.918,374097.0,308005.3333333333,184059.0,12401910.0,16492638.666666666,17079012.333333332,128181.33333333333,167472.33333333334,150792.0,8051868.666666667,9376121.666666666,7641010.333333333,760869.3333333334,705746.0,610564.3333333334,13338645.333333334,11419748.333333334,11061354.666666666,196205.33333333334,177175.33333333334,159658.66666666666,7215125.333333333,6002523.0,6484663.333333333,165233.0,261659.66666666666,444075.3333333333,2752146.0,942809.0,1630883.0,147632.33333333334,138722.0,124527.33333333333,728201.3333333334,839828.6666666666,990355.3333333334
0.918_275.07376,275.07376,0.918,974223.6666666666,927452.6666666666,767514.6666666666,621283.0,667236.3333333334,721709.3333333334,269787.3333333333,231584.0,196725.0,647616.6666666666,980360.3333333334,796117.0,2610329.6666666665,2486972.6666666665,2426819.3333333335,1084082.0,1169590.6666666667,969614.3333333334,705026.3333333334,612114.3333333334,506349.6666666667,1528563.0,983898.0,1301208.6666666667,634835.3333333334,1089705.3333333333,1983479.0,929248.3333333334,625568.6666666666,1127491.0,507749.6666666667,536135.6666666666,436478.3333333333,966340.6666666666,1228751.3333333333,932628.3333333334
