Compound,m/z,Retention time (min),kmd,pass_relfil,pass_blnkfil,average CV,median CV,pass_cvfil,pass_insource,groups,fc,max,logmax,-logp,p,qval,-logq
0.864_646.03577,646.03577,0.864,0.0357699999999567,True,True,0.200609527540574,0.0700745403783602,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.4538190446151439,296615.7777777777,5.472194248579008,3.550647547120971,0.00028141837624717775,0.000753721310026356,3.1227892057100024
9.336_444.31094,444.31094,9.336,0.3109400000000164,True,True,0.2739692639906411,0.127005460562529,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK,0.01,775967.7777777776,5.889843687464564,3.5723677209124647,0.00026769008098104225,0.0007197425912758762,3.142822796869561
7.75_606.34851,606.34851,7.75,0.3485100000000329,True,True,0.4815770076250114,0.1801506458563077,True,True, 0p8_K 0p8_MK 2p5_K 2p5_M 2p5_MK,0.0140371806342578,331649.44444444444,5.520679274135785,3.587290361767536,0.0002586483059172639,0.0006981483569876147,3.156052279705187
2.883_334.11218,334.11218,2.883,0.1121800000000234,True,True,0.1949365939157629,0.1384525864918226,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.1394758448512647,217424.66666666663,5.337308812931183,3.587929439943611,0.00025826797659100887,0.0006981483569876147,3.156052279705187
3.289_299.091,299.091,3.289,0.0910000000000081,True,True,0.445360317275612,0.1332654373750686,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,2.390621330034605,474980.3333333333,5.676675627937221,3.588466482657387,0.0002579488032690147,0.0006981483569876147,3.156052279705187
3.195_622.28424,622.28424,3.195,0.2842399999999543,True,True,0.2146009776543436,0.0931428465872151,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_M 2p5_MK 8p0_K 8p0_M 8p0_MK,0.3283590286405024,503677.3333333333,5.702152407022581,3.5941512610324398,0.0002545943367970869,0.0006953544929912531,3.1577937348340592
7.039_385.34235,385.34235,7.039,0.3423500000000103,True,True,0.3051429454934221,0.0876033570744123,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.4410001721488972,944273.0,5.975097571896632,3.597307014717341,0.0002527510597962746,0.0006930594536477212,3.1592295081246866
10.662_421.36737,421.36737,10.662,0.367369999999994,True,True,0.1411422795350389,0.0520467509963279,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.4357212505380189,26178877.77777778,7.417951025508676,3.601012951663269,0.00025060345161875825,0.0006899083070460635,3.161208625770109
10.308_438.30026,438.30026,10.308,0.3002599999999802,True,True,0.2201930879597643,0.1431637497298813,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.0279568466130578,10931033.333333334,7.038661218651655,3.640331084952438,0.0002289121872423029,0.0006327132855377252,3.198793046250277
6.895_341.09171,341.09171,6.895,0.0917099999999777,True,True,0.4170199328416848,0.084157535866884,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK,0.01,2889397.0,6.460807217532658,3.643857827706056,0.00022706080451184726,0.0006301165297899054,3.2005791274275937
9.674_516.37006,516.37006,9.674,0.3700599999999667,True,True,0.3565939976269289,0.1970828279191243,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.0312636060977636,10912948.11111111,7.037942090224478,3.6470484581967177,0.00022539877001537267,0.0006280264116154134,3.2020220916487356
0.91_251.07603,251.07603,0.91,0.0760300000000029,True,True,0.1295075786962271,0.1119442313707168,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK,0.01,513601.2222222223,5.710626048557166,3.656780796800104,0.00022040386356358946,0.0006165954239774912,3.2099997026855713
10.628_873.55499,873.55499,10.628,0.5549899999999752,True,True,0.1112911774123653,0.0790064157997174,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.1437561413187463,36973277.333333336,7.567887948401017,3.658780825043836,0.00021939118552860551,0.0006162573544726276,3.210237884773017
4.552_314.0314,314.0314,4.552,0.0314000000000191,True,True,0.209772995842601,0.1422520563763584,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.197039791070706,945652.8888888888,5.975731753628409,3.690087771020045,0.00020413253506301743,0.0005757370682797757,3.239775808010379
3.613_308.65775,308.65775,3.613,0.6577500000000214,True,True,0.2283082430488754,0.1218524247064649,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK,0.01,438217.4444444445,5.641689661848986,3.700366457730437,0.0001993579422525648,0.0005645751561332879,3.248278236694968
3.07_700.26544,700.26544,3.07,0.2654400000000123,True,True,0.4792378368229723,0.1944633334318837,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.090953737088122,88671.0,4.947781606311056,3.703632055700545,0.0001978645284099745,0.00056265180712466,3.2497602819246585
4.65_576.34015,576.34015,4.65,0.3401499999999942,True,True,0.4766337297594024,0.1938147212742705,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK 8p0_K,0.01,664186.4444444445,5.822290007722692,3.7197911334695215,0.00019063773372240974,0.000544341628108203,3.2641284520757545
4.102_392.13165,392.13165,4.102,0.1316499999999791,True,True,0.4783949376771673,0.1621209301095617,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.0192866535975171,488712.4444444445,5.68905339792881,3.739428215832125,0.0001822098221277991,0.000522435631080121,3.2819672110327947
10.139_512.30115,512.30115,10.139,0.3011500000000069,True,True,0.3191699194710786,0.1708215984758084,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK 8p0_MK,0.0170043875474348,2765959.333333333,6.441845790582127,3.7475627568273913,0.00017882870977015125,0.0005148776602132271,3.2882959511647987
3.439_575.77264,575.77264,3.439,0.772640000000024,True,True,0.3140849934360257,0.1792406827314042,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_M 2p5_MK 8p0_K 8p0_M 8p0_MK,19.129258198026104,814897.5555555556,5.911103015054833,3.753943401057275,0.000176220568893326,0.0005094912682229634,3.2928632546312144
8.897_384.31039,384.31039,8.897,0.3103899999999839,True,True,0.5476304552170774,0.1303466968263212,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.1704281735607989,33262905.444444444,7.52196018124488,3.7734997898177873,0.0001684613242063371,0.0004891040967503317,3.310598699500101
8.897_395.24017,395.24017,8.897,0.2401699999999778,True,True,0.5303146277566662,0.1902312188080542,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.1390701696730647,13601921.88888889,7.133600276515018,3.777000332313361,0.00016710893356264295,0.00048722478097800115,3.3122706309492664
10.769_873.55603,873.55603,10.769,0.5560299999999643,True,True,0.0830680086717376,0.0660978735701297,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.3679863880260419,7034852.0,6.847254965131186,3.7916544882496366,0.00016156434034209085,0.0004730549117643423,3.325088443845545
3.857_739.84955,739.84955,3.857,0.849550000000022,True,True,0.5004855204600134,0.1750197449830575,True,True, 0p8_M 2p5_M 8p0_K 8p0_M 8p0_MK,100.0,1461834.5555555555,6.164898223733288,3.796539236509394,0.00015975731891471054,0.00046975449944708505,3.3281290514069317
2.892_376.13309,376.13309,2.892,0.1330899999999815,True,True,0.4303994700085033,0.1628348475163978,True,True, 0p8_K 0p8_MK 2p5_K 2p5_M 2p5_MK 8p0_M,0.01,171234.55555555556,5.233591410882847,3.796833872417569,0.00015964897243203605,0.00046975449944708505,3.3281290514069317
4.693_487.29504,487.29504,4.693,0.2950399999999717,True,True,0.3720912000544414,0.1692852212613989,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.1174953510930755,524615.5555555556,5.719841163859714,3.807930659246912,0.00015562140815550388,0.0004615210001521596,3.3358085328987324
4.551_278.05988,278.05988,4.551,0.059880000000021,True,True,0.3442770011753547,0.1769357721539437,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.1011524455771571,522640.1111111111,5.718202737510964,3.810344467146405,0.00015475886389682017,0.00046094127134785665,3.336354404663106
10.462_859.53876,859.53876,10.462,0.5387600000000248,True,True,0.0599418472090101,0.0475064743630418,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.1654523846836528,143989552.1111111,8.158330980809783,3.814445623169544,0.0001533043142507572,0.00045858563267217844,3.33857955568749
0.857_589.12885,589.12885,0.857,0.1288500000000567,True,True,0.2762379501150883,0.1575238105022295,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK 8p0_K,0.01,243095.66666666663,5.385777217339723,3.8276671239696975,0.00014870750119744255,0.00044676905794536006,3.349916912613092
8.927_547.34766,547.34766,8.927,0.3476600000000189,True,True,0.0907402614212379,0.0796591276714318,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK,0.01,2199862.333333333,6.342395503665665,3.829980369103277,0.0001479175248055852,0.00044633628664043397,3.3503378040689666
2.671_718.27563,718.27563,2.671,0.2756299999999783,True,True,0.4093047641320814,0.1999585960235879,True,True, 0p8_K 0p8_MK 2p5_K 2p5_MK 8p0_MK,0.0350164525667127,80404.11111111111,4.905278255057209,3.8358410747526985,0.0001459348194856603,0.0004422849134411898,3.354297874378954
6.902_399.33298,399.33298,6.902,0.3329800000000205,True,True,0.0852976816976371,0.0791185228604746,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,2.9333070063869884,803863.3333333334,5.905182219613716,3.8412217626703193,0.00014413791558620632,0.0004387634346699056,3.357769572489244
10.231_515.35681,515.35681,10.231,0.3568099999999958,True,True,0.2090939834023917,0.1173962398979344,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.1139339933258579,10310139.222222222,7.013264529787361,3.848356775846383,0.00014178922350738254,0.00043352368780354573,3.3629871676195857
3.289_559.22888,559.22888,3.289,0.2288800000000037,True,True,0.3830001215414676,0.1725064761162817,True,True, 0p8_K 0p8_M 0p8_MK 2p5_MK 8p0_K 8p0_MK,6.477827060423989,507919.2222222223,5.705794649030747,3.8575696297929833,0.00013881307351359948,0.0004263103724350989,3.3702741005301475
9.477_516.36865,516.36865,9.477,0.3686500000000023,True,True,0.2968844346489317,0.1751231226844347,True,True, 0p8_K 0p8_M 0p8_MK 2p5_K 2p5_MK 8p0_K 8p0_MK,0.2553603414449196,3548006.777777778,6.549984440795731,3.87213308796712,0.00013423535387335753,0.000414092096100402,3.3829030589270843
