Compound,m/z,Retention time (min),kmd,pass_relfil,pass_blnkfil,average CV,median CV,pass_cvfil,pass_insource,groups,fc,max,logmax,-logp,-logq,logfc
5.07_180.1026m/z,180.1026425,5.0709,0.1026425000000017,True,True,0.0201426470437153,0.0207258883849233,True,True, 0um_Ce 250um_Ce Media,0.6414954251477846,7833.217757222222,3.89394019975153,2.262691239250118,1.717086521543077,-0.6404891181774528
2.32_146.0605m/z,146.060473,2.318116667,0.0604730000000017,True,True,0.1233720142315843,0.083605295458331,True,False, 0um_Ce 250um_Ce Media insource,0.7972542532895288,646.3732322555555,2.8104833630443578,0.8486043870412969,,-0.326888205723288
2.00_103.0545m/z,103.0544501,1.998166667,0.0544500999999968,True,True,0.1183190915049059,0.1012961122177981,True,False, Media insource,0.7404137799889063,3139.814336677778,3.496903968155933,0.7606781081839444,,-0.43359634914313894
9.94_893.5601m/z,893.56011,9.943466667,0.5601100000000088,True,False,,,True,True, 0um_Ce 250um_Ce Blanks Media,0.4753876272993827,18128.96718775667,4.25837306292426,1.9110552683281865,,-1.0728237394953368
1.91_215.1399m/z,215.1398972,1.905333333,0.1398972000000071,True,True,0.1778752903177186,0.1436037219996433,True,False, Media insource,1.1666879265090546,2916.1576505555554,3.464810998697933,0.2843504024284824,,0.22241871092764315
0.80_143.0822m/z,143.0821706,0.795633333,0.0821706000000119,True,True,0.0920006292262034,0.0250297490144157,True,False, 0um_Ce 250um_Ce insource,1.7590151546233956,2399.2253,3.380071032441559,2.6469052675838745,,0.814767912261743
0.83_345.1359m/z,345.1359307,0.831333333,0.1359307000000171,True,True,0.7086515795963183,0.8796224253603177,False,False, Media cv insource,0.6553355833491393,188.3723904777778,2.275017249084061,0.1675186571177787,,-0.6096942257144744
2.00_318.1691m/z,318.1690964,1.998166667,0.1690964000000008,True,True,0.1162590117125014,0.1305042683891926,True,False, 0um_Ce 250um_Ce Media insource,1.4009322969508518,842.4277261555554,2.925532652002462,1.234611259166882,,0.48638723613033397
1.22_184.0576m/z,184.0575775,1.215283333,0.0575775000000078,True,True,0.1225927896299783,0.0939617680482255,True,True, 0um_Ce 250um_Ce Media,0.6458123508366053,59.40105334222222,1.7737941462717428,2.675262186634616,2.00095612827807,-0.6308130628541194
2.13_486.2575m/z,486.2574546,2.13315,0.2574546000000168,True,True,0.0541820753930534,0.0541881250669807,True,False, 0um_Ce 250um_Ce Media insource,1.7982223684046488,1507.8378446666666,3.1783546393102453,2.63833919613674,,0.8465714357345236
2.88_494.1462n,495.1534316,2.88,0.1534315999999762,True,True,0.2097860401385561,0.1626391033824976,True,True, 0um_Ce 250um_Ce,2.462211903918863,124.76064798888888,2.096077621754134,2.7450687461873464,2.045140033996436,1.2999549289943126
0.81_166.0540m/z,166.0539664,0.809916667,0.0539664000000073,True,True,0.1801229091739959,0.181762396667266,True,True, 0um_Ce 250um_Ce Media,1.0831413843235342,100.0470758422222,2.00020439967742,0.1945589091164097,0.1378646897939834,0.11522157272396204
3.82_890.2267n,891.2339956,3.819366667,0.2339955999999574,True,True,0.2452227836875506,0.0278669173558935,True,True, 0um_Ce 250um_Ce,1.809263983789408,6800.352921444445,3.832531452097205,1.4225201895517965,1.0787547243677704,0.8554029222313221
1.19_225.0621n,248.052682,1.187133333,0.0526820000000043,True,True,0.1294828158048763,0.127523921306123,True,True, 0um_Ce 250um_Ce Media,0.8072951401606226,116.27703911111112,2.06549396432579,1.0780659087707436,0.8133055409878784,-0.30883188804762157
2.63_509.2289m/z,509.2288981,2.631183333,0.2288980999999808,True,True,0.1033546792476296,0.0980214847987111,True,True, 0um_Ce 250um_Ce Media,0.4067946046076619,176.80249891555556,2.247488399011709,1.3573963278331382,1.0261294081480854,-1.2976275502971344
0.84_279.1329n,280.1401592,0.838483333,0.1401592000000278,True,True,0.101335541817147,0.0703311749224351,True,False, 0um_Ce 250um_Ce Media insource,0.9511920320533004,90.80827426666669,1.9581254223606817,0.1212709436362655,,-0.0721914649229446
2.41_127.0395m/z,127.039469,2.410366667,0.0394689999999968,True,True,0.0496108151081919,0.0201723835831935,True,True, 0um_Ce 250um_Ce Media,2.8350247862668145,1713.5278827777777,3.23389117572708,5.384345265674408,3.744041555475956,1.503361348524787
2.08_105.0820n,128.0711747,2.076,0.0711747000000002,True,True,0.0254050831491114,0.0223465950199997,True,True, 0um_Ce 250um_Ce Media,0.3909918784164621,2069.4528665555554,3.3158555394451907,0.9974355407440932,0.7524779553112093,-1.354789454336792
2.25_367.1644m/z,367.1644305,2.2467,0.1644304999999803,True,True,0.0492566847146529,0.0500769842051763,True,False, 0um_Ce 250um_Ce Media insource,1.0264985782857312,1157.859226111111,3.063655760566233,0.1282590491918369,,0.03773162929595914
0.94_154.0501m/z,154.0501272,0.944883333,0.0501271999999914,True,True,0.2206867131074359,0.1109404716599077,True,True, 0um_Ce 250um_Ce Media,1.1963088332758551,27.975064813333333,1.4467711013859252,1.2086973729217765,0.9119555638655504,0.258589876759921
1.48_195.0762m/z,195.0762375,1.4788,0.0762374999999906,True,True,0.0575165154855812,0.059344510995228,True,True, 0um_Ce 250um_Ce Media,0.7292117710209748,178.95521137777777,2.252744350055764,3.649000747263602,2.5998784790821565,-0.45559024517169316
2.83_389.5118m/z,389.5118102,2.830716667,0.5118102000000135,True,True,0.3446840625649776,0.1799848466873234,True,True, 0um_Ce 250um_Ce Media,83.61358286770553,234.41893867777776,2.3699926953622543,2.187273440433697,1.6578009474023905,6.385665419300366
1.19_179.0515m/z,179.0515217,1.187133333,0.051521699999995,True,False,,,True,True, 0um_Ce 250um_Ce Blanks,3.753790211717497,17.997120535555556,1.255203025350308,3.93989886498228,,1.908348024443681
2.30_215.1383m/z,215.1382966,2.296683333,0.1382965999999896,True,True,0.0706828286855118,0.079217355532232,True,True, 0um_Ce 250um_Ce Media,0.9629050353409796,52.06555302888889,1.71655048573236,0.2405369631406762,0.1722313785868912,-0.054534572829360764
1.21_150.0587m/z,150.0587456,1.20815,0.0587456000000088,True,True,0.2254127177526821,0.0557985798121526,True,False, Media insource,0.2912121656040074,1918.2997892222224,3.2829164790760044,2.4869319251912283,,-1.7798574684374378
1.22_126.0555m/z,126.0555321,1.222433333,0.0555320999999935,True,True,0.2912506336577575,0.0762756260053661,True,False, 0um_Ce 250um_Ce insource,1.8236573547052344,209.77980457777767,2.3217636765048404,3.1255666920989387,,0.8668346883269484
4.77_211.0848m/z,211.0847737,4.772383333,0.0847736999999995,True,True,0.9010801604063204,1.0446580761754976,False,False, 0um_Ce 250um_Ce cv insource,87.44336755210917,31.66645039555556,1.5005993844953678,3.9410990644970094,,6.450277056935333
1.24_136.0728m/z,136.0727846,1.24385,0.0727846000000056,True,True,0.0959496614958219,0.1025330615068183,True,False, 0um_Ce 250um_Ce Media insource,0.9215679559598752,1699.0416924444446,3.230204036065277,0.3180841683948962,,-0.11783754149852338
0.77_162.0538n,325.1139984,0.767066667,0.113998400000014,True,True,0.0860682017208836,0.0793706416695657,True,False, 0um_Ce 250um_Ce Media insource,0.2630011792786221,599.4405569777778,2.777746123120445,2.8630539071475853,,-1.9268588264131095
0.64_73.5322m/z,73.5321805,0.639233333,0.5321804999999955,True,True,0.0174740673982087,0.0167289941407134,True,False, 0um_Ce 250um_Ce Media insource,1.112981478652197,590.5556612555556,2.7712608371517504,0.9062182029612996,,0.1544295847023732
1.23_154.0504m/z,154.0503871,1.229566667,0.0503870999999946,True,True,0.0847465132023851,0.0375677451270021,True,True, 0um_Ce 250um_Ce Media,1.3907660638019983,882.0375511111112,2.945487074806642,1.940887113948769,1.4711111304707722,0.47587976928639525
2.34_392.2030m/z,392.2030155,2.339533333,0.2030154999999922,True,True,0.0360769548062461,0.0322683477804556,True,False, 0um_Ce 250um_Ce Media insource,1.289258253558106,2171.209741777778,3.3367017789112965,1.7021212247772697,,0.36654128139459385
0.85_133.0340m/z,133.0339567,0.845616667,0.0339567000000045,True,False,,,True,True, Blanks Media,0.9311213891118144,13.834894376222223,1.1409758478283296,0.0205628707867864,,-0.10295883252374052
1.34_129.5954n,260.1970951,1.336683333,0.1970951000000127,True,True,0.1086824501630187,0.0872203827909471,True,False, Media insource,1.4443718447213847,1637.47307,3.214174166284236,1.5226611162650014,,0.5304422030807674
2.47_553.2889m/z,553.2888863,2.474783333,0.2888862999999446,True,True,0.51713335322036,0.1443982147685684,True,True, 250um_Ce Media,100.0,122.88647327777778,2.089504080574578,5.540887849850764,3.7826731548840526,6.643856189774724
2.50_388.8400m/z,388.8400489,2.4962,0.8400488999999993,True,True,0.1163693867389441,0.07984532473365,True,True, 0um_Ce 250um_Ce Media,23.28503641134124,144.05702323777777,2.1585344363690067,1.7402813515329436,1.321750163265625,4.5413312330224285
2.35_179.0423m/z,179.0422567,2.346683333,0.0422566999999958,True,True,0.2146237456106059,0.0738120775137745,True,True, 0um_Ce 250um_Ce,1.9534825577487869,66.2756461,1.821353970223268,5.427434682619439,3.744041555475956,0.966048374046455
5.16_444.1061n,445.1133629,5.163983333,0.1133629000000269,True,True,0.3057247598719171,0.1025820276276551,True,True, 0um_Ce 250um_Ce,2.5621049213718927,461.9814135444444,2.664624503353831,2.027519697969423,1.533805399895235,1.3573295570392339
0.62_216.6342m/z,216.6341559,0.62495,0.6341558999999961,True,True,0.2459645810308363,0.2829779704015658,False,False, Media cv insource,0.4510427498841895,143.86982989999998,2.1579697301305,1.146395957699577,,-1.1486639161227983
3.42_239.0533m/z,239.053271,3.420866667,0.0532709999999951,True,True,0.4511469530521455,0.2727421676703247,False,False, 0um_Ce 250um_Ce Media cv insource,3.389646161707738,36.91441918111111,1.5671960395355968,4.665399497082324,,1.7611346812104034
2.25_136.0629m/z,136.0628951,2.25385,0.0628950999999915,True,False,,,True,True, 0um_Ce Blanks Media,0.2010893129021214,25.902504834444443,1.4133417634317322,0.4113708162071774,,-2.314091684715069
3.11_198.5660m/z,198.5660185,3.108066667,0.5660185000000126,True,True,0.2729275740531542,0.1837512208346029,True,False, 0um_Ce 250um_Ce insource,3.5891741399215533,104.2085622777778,2.017903404157558,5.390204260459598,,1.8436519216790743
2.72_259.1166m/z,259.1165888,2.716166667,0.1165887999999881,True,True,0.0458250536895238,0.0455113527254778,True,True, 0um_Ce 250um_Ce Media,0.9854785187050212,195.39653292222224,2.290916853414966,0.0504003070321366,0.0323122725906598,-0.021103670899680037
3.12_157.5376m/z,157.5375678,3.115216667,0.537567800000005,True,True,0.1379839486603119,0.081578853825718,True,False, 0um_Ce 250um_Ce Media insource,2.5419450978414853,100.93505934222225,2.0040420426908727,5.3594703075778645,,1.3459328706547549
0.84_137.0487m/z,137.0486644,0.838483333,0.0486644000000069,True,False,,,True,True, 0um_Ce 250um_Ce Blanks Media,0.3245658014359613,58.53016954333333,1.767379782129343,1.369982907126457,,-1.623417099616264
2.15_198.0767m/z,198.0766795,2.154566667,0.0766795000000115,True,True,0.3305878852142691,0.0647286634533469,True,False, 0um_Ce 250um_Ce Media insource,0.5300725269905062,51.91764298666666,1.7153149676690425,1.9408470877232369,,-0.915738325455055
3.58_212.0474m/z,212.0473892,3.584416667,0.0473891999999978,True,True,0.3421735062329705,0.2254727206687639,False,False, 0um_Ce 250um_Ce cv insource,4.820401429884117,95.61948235888887,1.98054638829005,4.285593720258016,,2.2691532951663933
